reg_no | branch_code | penalized_subject_codes | subject_names | old_shown_grades | new_shown_grades | should_be_grades | shown_sgpa | corrected_sgpa | shown_cgpa | corrected_cgpa | status | old_result_url | new_result_url
21104133020 | 104 | 104401 | Analog Circuits | F | P | D | 6 | 6.13 | 6.41 | 6.44 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104133020 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104133020&exam_held=December%2F2025
21104133024 | 104 | 104401 | Analog Circuits | F | P | D | 5.96 | 6.09 | 6.36 | 6.39 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104133024 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104133024&exam_held=December%2F2025
21104133029 | 104 | 104401 | Analog Circuits | F | P | D | 5.83 | 5.96 | 6.08 | 6.11 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104133029 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104133029&exam_held=December%2F2025
21104133033 | 104 | 104401 | Analog Circuits | F | P | D | 5.74 | 5.87 | 5.74 | 5.77 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104133033 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104133033&exam_held=December%2F2025
21104134013 | 104 | 104403 | Digital Circuits | F | P | D | 5.87 | 6.04 | 6.67 | 6.72 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104134013 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104134013&exam_held=December%2F2025
21104135007 | 104 | 100408P,104403 | MOOCs / SWAYAM / NPTEL Courses - 1,Digital Circuits | F,F | D,P | C,D | 6.22 | 6.48 | 6.45 | 6.52 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104135007 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104135007&exam_held=December%2F2025
21104135008 | 104 | 104404 | Electromagnetic Theory | F | D | C | 6.39 | 6.57 | 6.76 | 6.80 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104135008 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104135008&exam_held=December%2F2025
21104135013 | 104 | 104403 | Digital Circuits | F | P | D | 5.96 | 6.13 | 6.24 | 6.29 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104135013 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104135013&exam_held=December%2F2025
21104135015 | 104 | 104401 | Analog Circuits | F | P | D | 5.61 | 5.74 | 6.37 | 6.40 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104135015 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104135015&exam_held=December%2F2025
21104135016 | 104 | 104403 | Digital Circuits | F | P | D | 5.61 | 5.78 | 6.36 | 6.40 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104135016 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104135016&exam_held=December%2F2025
21104135028 | 104 | 104404 | Electromagnetic Theory | F | P | D | 6.13 | 6.30 | 6.61 | 6.66 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104135028 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104135028&exam_held=December%2F2025
21104135037 | 104 | 104401 | Analog Circuits | F | P | D | 6.17 | 6.30 | 6.97 | 7.00 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104135037 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104135037&exam_held=December%2F2025
21104135039 | 104 | 104401 | Analog Circuits | F | D | C | 6.13 | 6.26 | 6.99 | 7.02 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104135039 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104135039&exam_held=December%2F2025
21104135041 | 104 | 104404 | Electromagnetic Theory | F | P | D | 6.83 | 7.00 | 7.1 | 7.14 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104135041 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104135041&exam_held=December%2F2025
21104146003 | 104 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | F | A | A+ | 6.3 | 6.39 | 6.8 | 6.83 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104146003 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104146003&exam_held=December%2F2025
21104146014 | 104 | 104404 | Electromagnetic Theory | F | C | B | 5.52 | 5.70 | 6.44 | 6.49 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104146014 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104146014&exam_held=December%2F2025
21104146031 | 104 | 104401 | Analog Circuits | F | P | D | 6.61 | 6.74 | 7.38 | 7.42 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104146031 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104146031&exam_held=December%2F2025
21104146033 | 104 | 104405 | Semiconductor Physics and Devices | F | C | B | 6.39 | 6.52 | 7.17 | 7.21 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104146033 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104146033&exam_held=December%2F2025
21104147011 | 104 | 104401 | Analog Circuits | F | D | C | 6.3 | 6.43 | 6.73 | 6.76 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104147011 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104147011&exam_held=December%2F2025
