reg_no | branch_code | penalized_subject_codes | subject_names | old_shown_grades | new_shown_grades | should_be_grades | shown_sgpa | corrected_sgpa | shown_cgpa | corrected_cgpa | status | old_result_url | new_result_url
23102132004 | 102 | 100206 | ENGLISH | F | D | C | 6.37 | 6.46 | 6.49 | 6.54 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102132004 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102132004&exam_held=November%2F2025
23102133001 | 102 | 102202 | MATHEMATICS - II (ODE & COMPLEX VARIABLES) | F | D | C | 7.2 | 7.39 | 6.11 | 6.21 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102133001 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102133001&exam_held=November%2F2025
23102133004 | 102 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | D | C | 7.2 | 7.24 | 6.91 | 6.93 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102133004 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102133004&exam_held=November%2F2025
23102135018 | 102 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | P | D | 6.98 | 7.02 | 6.36 | 6.38 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102135018 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102135018&exam_held=November%2F2025
23102135020 | 102 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | P | D | 7.02 | 7.07 | 5.67 | 5.70 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102135020 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102135020&exam_held=November%2F2025
23102139001 | 102 | 100203 | CHEMISTRY | F | P | D | 6.98 | 7.17 | 6.32 | 6.42 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102139001 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102139001&exam_held=November%2F2025
23102140001 | 102 | 100203 | CHEMISTRY | F | P | D | 7 | 7.20 | 7.36 | 7.46 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102140001 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102140001&exam_held=November%2F2025
23102140002 | 102 | 100203,100206 | CHEMISTRY,ENGLISH | F,F | D,C | C,B | 7.63 | 7.93 | 7.34 | 7.50 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102140002 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102140002&exam_held=November%2F2025
23102140004 | 102 | 100203 | CHEMISTRY | F | P | D | 6.88 | 7.07 | 6.91 | 7.01 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102140004 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102140004&exam_held=November%2F2025
23102140006 | 102 | 100206 | ENGLISH | F | P | D | 6.44 | 6.54 | 6.01 | 6.06 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102140006 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102140006&exam_held=November%2F2025
23102140007 | 102 | 100203 | CHEMISTRY | F | P | D | 6.83 | 7.02 | 7.2 | 7.30 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102140007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102140007&exam_held=November%2F2025
23102140009 | 102 | 100203 | CHEMISTRY | F | D | C | 7.17 | 7.37 | 7.33 | 7.43 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102140009 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102140009&exam_held=November%2F2025
23102140010 | 102 | 100203,100206 | CHEMISTRY,ENGLISH | F,F | P,D | D,C | 6.76 | 7.05 | 6.79 | 6.95 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102140010 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102140010&exam_held=November%2F2025
23102140017 | 102 | 100206 | ENGLISH | F | C | B | 7.1 | 7.20 | 6.58 | 6.63 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102140017 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102140017&exam_held=November%2F2025
